label,gt_category_id,gt_category_name,transition,top_wrong_candidate,samples,mean_nearest_iou,mean_nearest_group_rank,mean_top_wrong_score,example_image_ids,example_annotation_ids
extra_low_lr,75,n03000684,persistent_zero_hit,n00007846,1,0.717376619797,39,0.07,1819,5262
extra_low_lr,75,n03000684,persistent_zero_hit,n04336792,1,0.61126770094,16,0.11,2770,7890
full_lr_2ep,113,n03676483,persistent_zero_hit,n02880940,8,0.890233694261,7.625,0.19125,12672;12672;12672;12672;12672,35593;35597;35599;35596;35594
full_lr_2ep,183,n07695742,persistent_zero_hit,n01726692,5,0.956503744788,3,0.496,14025;14025;14025;14025;14025,39436;39434;39435;39437;39439
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n02206856,5,0.743698486055,11.6,0.184,3741;3741;3741;3741;3741,10524;10529;10530;10526;10534
full_lr_2ep,167,n04468005,persistent_zero_hit,n04530566,2,0.960220760702,8,0.285,18462;18462,54661;54662
full_lr_2ep,183,n07695742,persistent_zero_hit,n02206856,2,0.854377489958,10.5,0.115,14025;11995,39438;33697
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n03513137,2,0.830638092487,24.5,0.105,3741;3741,10527;10531
full_lr_2ep,126,n03908618,persistent_zero_hit,n02870880,1,0.989935853647,7,0.17,8445,23837
full_lr_2ep,183,n07695742,persistent_zero_hit,n03249569,1,0.976541781469,1,0.29,11995,33696
full_lr_2ep,183,n07695742,persistent_zero_hit,n00007846,1,0.966657941185,4,0.18,11995,33695
full_lr_2ep,113,n03676483,persistent_zero_hit,n03916031,1,0.966583827102,19,0.08,12672,35591
full_lr_2ep,113,n03676483,persistent_zero_hit,n03249569,1,0.945025923271,23,0.07,12672,35592
full_lr_2ep,18,n02076196,regressed_to_zero_hit,n00007846,1,0.944912886043,13,0.03,7122,20032
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n03001627,1,0.937667070431,3,0.17,2046,5974
full_lr_2ep,167,n04468005,persistent_zero_hit,n04070727,1,0.935193751377,5,0.19,18462,54663
full_lr_2ep,180,n07583066,regressed_to_zero_hit,n02870880,1,0.929920393768,30,0.06,15535,43767
full_lr_2ep,75,n03000684,persistent_zero_hit,n04379243,1,0.904732650369,17,0.1,2770,7889
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n01495701,1,0.896573598569,13,0.16,3741,10525
full_lr_2ep,113,n03676483,persistent_zero_hit,n04254120,1,0.856838562524,10,0.04,3153,8930
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n03759954,1,0.837890187924,5,0.15,2046,5975
full_lr_2ep,180,n07583066,regressed_to_zero_hit,n02880940,1,0.798525462065,7,0.18,6868,19325
full_lr_2ep,66,n02879718,persistent_zero_hit,n02766320,1,0.768453092993,14,0.05,6484,18261
full_lr_2ep,75,n03000684,persistent_zero_hit,n00007846,1,0.692985133906,37,0.05,1819,5262
full_lr_2ep,98,n03400231,persistent_zero_hit,n04330267,1,0.681996055176,8,0.21,18560,55045
full_lr_2ep,92,n03255030,regressed_to_zero_hit,n07745940,1,0.615556989274,24,0.11,3741,10533
full_lr_2ep,98,n03400231,persistent_zero_hit,n03207941,1,0.554861549908,10,0.09,14530,40913
full_lr_2ep,75,n03000684,persistent_zero_hit,n04530566,1,0.554098275704,44,0.05,2770,7890
