label,image_id,annotation_id,gt_category_id,gt_category_name,transition,top_wrong_candidate,top_wrong_score,nearest_iou,nearest_group_rank,nearest_group_top_score,nearest_group_size,gt_candidate_present,gt_candidate_rank_in_group,gt_candidate_present_displayed
base,12672,35591,113,n03676483,persistent_zero_hit,n00007846,0.22,0.933467740416,6,0.215197280049,10,0,0,0
base,12672,35596,113,n03676483,persistent_zero_hit,n00007846,0.15,0.913385243824,10,0.152130901814,15,0,0,0
base,3153,8930,113,n03676483,persistent_zero_hit,n00007846,0.25,0.899557900837,1,0.25364947319,183,0,0,0
base,12672,35592,113,n03676483,persistent_zero_hit,n00007846,0.31,0.886961029588,2,0.309465408325,32,0,0,0
base,12672,35594,113,n03676483,persistent_zero_hit,n00007846,0.33,0.882357581929,1,0.325836539268,37,0,0,0
base,12672,35595,113,n03676483,persistent_zero_hit,n00007846,0.22,0.879818343023,5,0.222877115011,17,0,0,0
base,12672,35590,113,n03676483,persistent_zero_hit,n00007846,0.15,0.622998245375,9,0.154750794172,43,0,0,0
base,12672,35598,113,n03676483,persistent_zero_hit,n03513137,0.1,0.906677848062,19,0.104036554694,1,0,0,0
base,8445,23837,126,n03908618,persistent_zero_hit,n04379243,0.12,0.984309780946,10,0.118048131466,3,0,0,0
base,5788,16284,144,n04118538,regressed_to_zero_hit,n02419796,0.17,0.856575161334,12,0.165785476565,90,0,0,0
base,18462,54663,167,n04468005,persistent_zero_hit,n04530566,0.13,0.930576081089,8,0.12825705111,35,0,0,0
base,15535,43767,180,n07583066,regressed_to_zero_hit,n00007846,0.1,0.916824524123,8,0.104932039976,8,0,0,0
base,6868,19325,180,n07583066,regressed_to_zero_hit,n00007846,0.06,0.772093678584,17,0.0636899396777,1,0,0,0
base,11995,33695,183,n07695742,persistent_zero_hit,n00007846,0.32,0.989573700048,1,0.323357731104,90,0,0,0
base,14025,39436,183,n07695742,persistent_zero_hit,n00007846,0.24,0.982929568938,2,0.236943468451,40,0,0,0
base,14025,39434,183,n07695742,persistent_zero_hit,n00007846,0.27,0.970901840275,1,0.270037055016,60,0,0,0
base,14025,39435,183,n07695742,persistent_zero_hit,n00007846,0.23,0.968883935994,4,0.227236002684,50,0,0,0
base,14025,39438,183,n07695742,persistent_zero_hit,n00007846,0.23,0.955631839435,3,0.22758577764,51,0,0,0
base,14025,39437,183,n07695742,persistent_zero_hit,n00007846,0.22,0.946797582193,5,0.219670578837,48,0,0,0
base,11995,33696,183,n07695742,persistent_zero_hit,n01726692,0.24,0.969722758368,2,0.238953068852,72,0,0,0
base,14025,39439,183,n07695742,persistent_zero_hit,n01726692,0.2,0.940578797143,6,0.195224121213,46,0,0,0
extra_low_lr,7122,20033,18,n02076196,regressed_to_zero_hit,n00007846,0.12,0.922093415293,2,0.120313026011,73,0,0,0
extra_low_lr,7122,20032,18,n02076196,regressed_to_zero_hit,n01443537,0.09,0.829288069267,3,0.0857453942299,59,0,0,0
extra_low_lr,6484,18261,66,n02879718,persistent_zero_hit,n03467517,0.05,0.865933091187,18,0.0539477318525,3,0,0,0
extra_low_lr,1819,5262,75,n03000684,persistent_zero_hit,n00007846,0.07,0.717376619797,39,0.0669435560703,1,0,0,0
extra_low_lr,2770,7890,75,n03000684,persistent_zero_hit,n04336792,0.11,0.61126770094,16,0.105617567897,15,0,0,0
extra_low_lr,2770,7889,75,n03000684,persistent_zero_hit,n04379243,0.12,0.966329225219,14,0.118877701461,8,0,0,0
extra_low_lr,3741,10530,92,n03255030,regressed_to_zero_hit,n01495701,0.1,0.859341242306,31,0.0988878384233,1,0,0,0
extra_low_lr,3741,10531,92,n03255030,regressed_to_zero_hit,n01495701,0.23,0.856862485955,8,0.233210861683,24,0,0,0
extra_low_lr,3741,10527,92,n03255030,regressed_to_zero_hit,n01495701,0.1,0.85430613165,32,0.0969966500998,2,0,0,0
extra_low_lr,3741,10533,92,n03255030,regressed_to_zero_hit,n01495701,0.26,0.846990792378,5,0.258390128613,19,0,0,0
extra_low_lr,3741,10525,92,n03255030,regressed_to_zero_hit,n01495701,0.29,0.820631643625,2,0.288261264563,27,0,0,0
extra_low_lr,3741,10528,92,n03255030,regressed_to_zero_hit,n01495701,0.24,0.819139916662,7,0.237421244383,18,0,0,0
extra_low_lr,3741,10526,92,n03255030,regressed_to_zero_hit,n01495701,0.25,0.553435618496,6,0.252508461475,29,0,0,0
extra_low_lr,2046,5975,92,n03255030,regressed_to_zero_hit,n02807133,0.19,0.77106589807,6,0.185764685273,54,0,0,0
extra_low_lr,2046,5974,92,n03255030,regressed_to_zero_hit,n04154565,0.21,0.924037283983,4,0.214268639684,28,0,0,0
extra_low_lr,3741,10524,92,n03255030,regressed_to_zero_hit,n07749582,0.61,0.983653857491,1,0.609450817108,27,0,0,0
extra_low_lr,3741,10529,92,n03255030,regressed_to_zero_hit,n07749582,0.17,0.90679870779,14,0.165790826082,5,0,0,0
extra_low_lr,18560,55045,98,n03400231,persistent_zero_hit,n04330267,0.16,0.612656316297,20,0.157789885998,4,0,0,0
extra_low_lr,14530,40913,98,n03400231,persistent_zero_hit,n04330267,0.46,0.550630303181,1,0.460237950087,12,0,0,0
extra_low_lr,12672,35596,113,n03676483,persistent_zero_hit,n02076196,0.08,0.90204011628,21,0.0820770189166,6,0,0,0
extra_low_lr,12672,35598,113,n03676483,persistent_zero_hit,n02076196,0.12,0.822173497785,12,0.121095530689,17,0,0,0
extra_low_lr,3153,8930,113,n03676483,persistent_zero_hit,n02484322,0.24,0.931923184079,1,0.23745508492,83,0,0,0
extra_low_lr,12672,35595,113,n03676483,persistent_zero_hit,n02880940,0.19,0.894622288675,5,0.190766185522,23,0,0,0
extra_low_lr,12672,35594,113,n03676483,persistent_zero_hit,n03797390,0.22,0.893290002465,3,0.215161547065,32,0,0,0
extra_low_lr,12672,35590,113,n03676483,persistent_zero_hit,n03797390,0.14,0.882646526057,9,0.144156873226,18,0,0,0
extra_low_lr,12672,35593,113,n03676483,persistent_zero_hit,n03916031,0.08,0.986830886391,19,0.0848443359137,4,0,0,0
extra_low_lr,12672,35591,113,n03676483,persistent_zero_hit,n03916031,0.13,0.948547344626,11,0.132817387581,4,0,0,0
extra_low_lr,12672,35592,113,n03676483,persistent_zero_hit,n03916031,0.08,0.903169260545,20,0.0836516320705,4,0,0,0
extra_low_lr,12672,35597,113,n03676483,persistent_zero_hit,n07880968,0.17,0.968362055375,6,0.169910565019,16,0,0,0
extra_low_lr,12672,35599,113,n03676483,persistent_zero_hit,n07880968,0.14,0.854645567384,10,0.140090242028,19,0,0,0
extra_low_lr,8445,23837,126,n03908618,persistent_zero_hit,n02870880,0.12,0.981857164391,39,0.120189532638,1,0,0,0
extra_low_lr,5788,16284,144,n04118538,regressed_to_zero_hit,n02802426,0.27,0.818750189135,9,0.274042338133,55,0,0,0
extra_low_lr,6017,16886,144,n04118538,regressed_to_zero_hit,n04116512,0.34,0.872362991881,4,0.34025645256,67,0,0,0
extra_low_lr,18462,54663,167,n04468005,persistent_zero_hit,n02828884,0.11,0.954856849507,5,0.113432236016,18,0,0,0
extra_low_lr,18462,54661,167,n04468005,persistent_zero_hit,n04530566,0.08,0.965683909874,8,0.0765093043447,4,0,0,0
extra_low_lr,18462,54662,167,n04468005,persistent_zero_hit,n04530566,0.07,0.90885960862,9,0.0727628096938,11,0,0,0
extra_low_lr,6868,19325,180,n07583066,regressed_to_zero_hit,n02880940,0.36,0.786289689199,3,0.363840907812,34,0,0,0
extra_low_lr,15535,43767,180,n07583066,regressed_to_zero_hit,n03535780,0.06,0.937736925905,36,0.0614304728806,2,0,0,0
extra_low_lr,11995,33697,183,n07695742,persistent_zero_hit,n01495701,0.07,0.742375013765,15,0.0738084167242,3,0,0,0
extra_low_lr,11995,33695,183,n07695742,persistent_zero_hit,n01662784,0.24,0.973747684611,2,0.239253535867,59,0,0,0
extra_low_lr,14025,39436,183,n07695742,persistent_zero_hit,n01674464,0.06,0.984164159624,13,0.0575457364321,5,0,0,0
extra_low_lr,14025,39434,183,n07695742,persistent_zero_hit,n01726692,0.31,0.975738109802,3,0.309690207243,44,0,0,0
extra_low_lr,11995,33696,183,n07695742,persistent_zero_hit,n01726692,0.32,0.969754508059,1,0.319339364767,63,0,0,0
extra_low_lr,14025,39435,183,n07695742,persistent_zero_hit,n01726692,0.46,0.963150544519,1,0.459229111671,36,0,0,0
extra_low_lr,14025,39438,183,n07695742,persistent_zero_hit,n01726692,0.21,0.958720574146,6,0.208006054163,44,0,0,0
extra_low_lr,14025,39439,183,n07695742,persistent_zero_hit,n01726692,0.28,0.940810538263,5,0.283095389605,38,0,0,0
extra_low_lr,14025,39437,183,n07695742,persistent_zero_hit,n01944390,0.37,0.936465554591,2,0.367875516415,43,0,0,0
full_lr_2ep,7122,20032,18,n02076196,regressed_to_zero_hit,n00007846,0.03,0.944912886043,13,0.0286585092545,3,0,0,0
full_lr_2ep,6484,18261,66,n02879718,persistent_zero_hit,n02766320,0.05,0.768453092993,14,0.0532281920314,2,0,0,0
full_lr_2ep,1819,5262,75,n03000684,persistent_zero_hit,n00007846,0.05,0.692985133906,37,0.0532798022032,1,0,0,0
full_lr_2ep,2770,7889,75,n03000684,persistent_zero_hit,n04379243,0.1,0.904732650369,17,0.102547809482,9,0,0,0
full_lr_2ep,2770,7890,75,n03000684,persistent_zero_hit,n04530566,0.05,0.554098275704,44,0.050544526428,1,0,0,0
full_lr_2ep,3741,10525,92,n03255030,regressed_to_zero_hit,n01495701,0.16,0.896573598569,13,0.163046732545,16,0,0,0
full_lr_2ep,3741,10524,92,n03255030,regressed_to_zero_hit,n02206856,0.29,0.91890005762,2,0.293282151222,17,0,0,0
full_lr_2ep,3741,10529,92,n03255030,regressed_to_zero_hit,n02206856,0.09,0.862549534013,29,0.0929033607244,2,0,0,0
full_lr_2ep,3741,10530,92,n03255030,regressed_to_zero_hit,n02206856,0.14,0.849988729858,17,0.139193490148,8,0,0,0
full_lr_2ep,3741,10526,92,n03255030,regressed_to_zero_hit,n02206856,0.2,0.583222615126,5,0.201487228274,12,0,0,0
full_lr_2ep,3741,10534,92,n03255030,regressed_to_zero_hit,n02206856,0.2,0.503831493656,5,0.201487228274,12,0,0,0
full_lr_2ep,2046,5974,92,n03255030,regressed_to_zero_hit,n03001627,0.17,0.937667070431,3,0.171369254589,36,0,0,0
full_lr_2ep,3741,10527,92,n03255030,regressed_to_zero_hit,n03513137,0.11,0.88068359391,23,0.112474136055,3,0,0,0
full_lr_2ep,3741,10531,92,n03255030,regressed_to_zero_hit,n03513137,0.1,0.780592591063,26,0.10336202383,6,0,0,0
full_lr_2ep,2046,5975,92,n03255030,regressed_to_zero_hit,n03759954,0.15,0.837890187924,5,0.146264836192,53,0,0,0
full_lr_2ep,3741,10533,92,n03255030,regressed_to_zero_hit,n07745940,0.11,0.615556989274,24,0.111827708781,6,0,0,0
full_lr_2ep,14530,40913,98,n03400231,persistent_zero_hit,n03207941,0.09,0.554861549908,10,0.0857964530587,12,0,0,0
full_lr_2ep,18560,55045,98,n03400231,persistent_zero_hit,n04330267,0.21,0.681996055176,8,0.212455257773,8,0,0,0
full_lr_2ep,12672,35593,113,n03676483,persistent_zero_hit,n02880940,0.25,0.962722857464,4,0.252540946007,39,0,0,0
full_lr_2ep,12672,35597,113,n03676483,persistent_zero_hit,n02880940,0.18,0.937040753105,7,0.176628470421,23,0,0,0
full_lr_2ep,12672,35599,113,n03676483,persistent_zero_hit,n02880940,0.15,0.929536894343,9,0.148807480931,16,0,0,0
full_lr_2ep,12672,35596,113,n03676483,persistent_zero_hit,n02880940,0.11,0.911883777367,11,0.110760115087,7,0,0,0
full_lr_2ep,12672,35594,113,n03676483,persistent_zero_hit,n02880940,0.31,0.899624617444,2,0.305662661791,28,0,0,0
full_lr_2ep,12672,35590,113,n03676483,persistent_zero_hit,n02880940,0.09,0.866256620513,17,0.0906419977546,6,0,0,0
full_lr_2ep,12672,35595,113,n03676483,persistent_zero_hit,n02880940,0.23,0.84810359678,5,0.229354634881,19,0,0,0
full_lr_2ep,12672,35598,113,n03676483,persistent_zero_hit,n02880940,0.21,0.766700437074,6,0.207607746124,17,0,0,0
full_lr_2ep,12672,35592,113,n03676483,persistent_zero_hit,n03249569,0.07,0.945025923271,23,0.0740205943584,1,0,0,0
full_lr_2ep,12672,35591,113,n03676483,persistent_zero_hit,n03916031,0.08,0.966583827102,19,0.0825817584991,3,0,0,0
full_lr_2ep,3153,8930,113,n03676483,persistent_zero_hit,n04254120,0.04,0.856838562524,10,0.0415188111365,5,0,0,0
full_lr_2ep,8445,23837,126,n03908618,persistent_zero_hit,n02870880,0.17,0.989935853647,7,0.167731121182,2,0,0,0
full_lr_2ep,18462,54663,167,n04468005,persistent_zero_hit,n04070727,0.19,0.935193751377,5,0.185768246651,38,0,0,0
full_lr_2ep,18462,54661,167,n04468005,persistent_zero_hit,n04530566,0.52,0.987564542275,2,0.524774849415,42,0,0,0
full_lr_2ep,18462,54662,167,n04468005,persistent_zero_hit,n04530566,0.05,0.932876979128,14,0.0524167716503,5,0,0,0
full_lr_2ep,15535,43767,180,n07583066,regressed_to_zero_hit,n02870880,0.06,0.929920393768,30,0.0614463612437,1,0,0,0
full_lr_2ep,6868,19325,180,n07583066,regressed_to_zero_hit,n02880940,0.18,0.798525462065,7,0.177578911185,17,0,0,0
full_lr_2ep,11995,33695,183,n07695742,persistent_zero_hit,n00007846,0.18,0.966657941185,4,0.181629151106,40,0,0,0
full_lr_2ep,14025,39436,183,n07695742,persistent_zero_hit,n01726692,0.38,0.9744571725,5,0.383857578039,39,0,0,0
full_lr_2ep,14025,39434,183,n07695742,persistent_zero_hit,n01726692,0.53,0.968895837127,2,0.533930778503,43,0,0,0
full_lr_2ep,14025,39435,183,n07695742,persistent_zero_hit,n01726692,0.52,0.964485293023,3,0.52070838213,38,0,0,0
full_lr_2ep,14025,39437,183,n07695742,persistent_zero_hit,n01726692,0.58,0.941690121071,1,0.578501045704,40,0,0,0
full_lr_2ep,14025,39439,183,n07695742,persistent_zero_hit,n01726692,0.47,0.932990300218,4,0.468733161688,33,0,0,0
full_lr_2ep,14025,39438,183,n07695742,persistent_zero_hit,n02206856,0.18,0.948062820374,8,0.176164269447,23,0,0,0
full_lr_2ep,11995,33697,183,n07695742,persistent_zero_hit,n02206856,0.05,0.760692159541,13,0.0511228963733,2,0,0,0
full_lr_2ep,11995,33696,183,n07695742,persistent_zero_hit,n03249569,0.29,0.976541781469,1,0.290285676718,77,0,0,0
